name,category,definition,description,scope,level
add,Arithmetic,"add(x, y, filter = false), x + y","Add all inputs (at least 2 inputs required). If filter = true, filter all input NaN to 0 before adding","COMBO,REGULAR,SELECTION",ALL
multiply,Arithmetic,"multiply(x ,y, ... , filter=false), x * y",Multiply all inputs. At least 2 inputs are required. Filter sets the NaN values to 1,"COMBO,REGULAR,SELECTION",ALL
sign,Arithmetic,sign(x),"if input > 0, return 1; if input < 0, return -1; if input = 0, return 0; if input = NaN, return NaN;","COMBO,REGULAR,SELECTION",ALL
subtract,Arithmetic,"subtract(x, y, filter=false), x - y","x-y. If filter = true, filter all input NaN to 0 before subtracting","COMBO,REGULAR,SELECTION",ALL
log,Arithmetic,log(x),Natural logarithm. For example: Log(high/low) uses natural logarithm of high/low ratio as stock weights.,"COMBO,REGULAR,SELECTION",ALL
max,Arithmetic,"max(x, y, ..)",Maximum value of all inputs. At least 2 inputs are required,"COMBO,REGULAR,SELECTION",ALL
arc_sin,Arithmetic,arc_sin(x),If -1 <= x <= 1: arcsin(x); else NaN,"COMBO,REGULAR,SELECTION",
to_nan,Arithmetic,"to_nan(x, value=0, reverse=false)",Convert value to NaN or NaN to value if reverse=true,"COMBO,REGULAR,SELECTION",
abs,Arithmetic,abs(x),Absolute value of x,"COMBO,REGULAR,SELECTION",ALL
divide,Arithmetic,"divide(x, y), x / y",x / y,"COMBO,REGULAR,SELECTION",ALL
min,Arithmetic,"min(x, y ..)",Minimum value of all inputs. At least 2 inputs are required,"COMBO,REGULAR,SELECTION",ALL
arc_cos,Arithmetic,arc_cos(x),If -1 <= x <= 1: arccos(x); else NaN,"COMBO,REGULAR,SELECTION",
signed_power,Arithmetic,"signed_power(x, y)",x raised to the power of y such that final result preserves sign of x,"COMBO,REGULAR,SELECTION",ALL
inverse,Arithmetic,inverse(x),1 / x,"COMBO,REGULAR,SELECTION",ALL
sqrt,Arithmetic,sqrt(x),Square root of x,"COMBO,REGULAR,SELECTION",ALL
s_log_1p,Arithmetic,s_log_1p(x),Confine function to a shorter range using logarithm such that higher input remains higher and negative input remains negative as an output of resulting function and -1 or 1 is an asymptotic value,"COMBO,REGULAR,SELECTION",
reverse,Arithmetic,reverse(x), - x,"COMBO,REGULAR,SELECTION",ALL
replace,Arithmetic,"replace(x, target=""v1 v2 ..vn"", dest=""d1,d2,..dn"")",Replace target values in input with destination values,"COMBO,REGULAR",
log_diff,Arithmetic,log_diff(x),Returns log(current value of input or x[t] ) - log(previous value of input or x[t-1]),"COMBO,REGULAR",
power,Arithmetic,"power(x, y)",x ^ y,"COMBO,REGULAR,SELECTION",ALL
densify,Arithmetic,densify(x),Converts a grouping field of many buckets into lesser number of only available buckets so as to make working with grouping fields computationally efficient,"COMBO,REGULAR",ALL
floor,Arithmetic,floor(x),Nearest smaller integer,"COMBO,REGULAR,SELECTION",
ceiling,Arithmetic,ceiling(x),Nearest larger integer,"COMBO,REGULAR,SELECTION",
or,Logical,"or(input1, input2)",Logical OR operator returns true if either or both inputs are true and returns false otherwise,"COMBO,REGULAR,SELECTION",ALL
and,Logical,"and(input1, input2)","Logical AND operator, returns true if both operands are true and returns false otherwise","COMBO,REGULAR,SELECTION",ALL
not,Logical,not(x),"Returns the logical negation of x. If x is true (1), it returns false (0), and if input is false (0), it returns true (1).","COMBO,REGULAR,SELECTION",ALL
negate,Logical,negate(input),The result is true if the converted operand is false; the result is false if the converted operand is true,"COMBO,REGULAR,SELECTION",
is_nan,Logical,is_nan(input),If (input == NaN) return 1 else return 0,"COMBO,REGULAR,SELECTION",ALL
less,Logical,input1 < input2,"If input1 < input2 return true, else return false","COMBO,REGULAR,SELECTION",ALL
equal,Logical,input1 == input2,Returns true if both inputs are same and returns false otherwise,"COMBO,REGULAR,SELECTION",ALL
greater,Logical,input1 > input2,Logic comparison operators to compares two inputs,"COMBO,REGULAR,SELECTION",ALL
if_else,Logical,"if_else(input1, input2, input 3)",If input1 is true then return input2 else return input3.,"COMBO,REGULAR,SELECTION",ALL
not_equal,Logical,input1!= input2,Returns true if both inputs are NOT the same and returns false otherwise,"COMBO,REGULAR,SELECTION",ALL
less_equal,Logical,input1 <= input2,"Returns true if input1 <= input2, return false otherwise","COMBO,REGULAR,SELECTION",ALL
greater_equal,Logical,input1 >= input2,"Returns true if input1 >= input2, return false otherwise","COMBO,REGULAR,SELECTION",ALL
ts_corr,Time Series,"ts_corr(x, y, d)",Returns correlation of x and y for the past d days,"COMBO,REGULAR",ALL
ts_zscore,Time Series,"ts_zscore(x, d)","Z-score is a numerical measurement that describes a value's relationship to the mean of a group of values. Z-score is measured in terms of standard deviations from the mean: (x - tsmean(x,d)) / tsstddev(x,d). This operator may help reduce outliers and drawdown.","COMBO,REGULAR",ALL
ts_product,Time Series,"ts_product(x, d)",Returns product of x for the past d days,"COMBO,REGULAR",ALL
ts_std_dev,Time Series,"ts_std_dev(x, d)",Returns standard deviation of x for the past d days,"COMBO,REGULAR",ALL
ts_triple_corr,Time Series,"ts_triple_corr(x, y, z, d)","Returns triple correlation of x, y, z for the past d days","COMBO,REGULAR",
ts_backfill,Time Series,"ts_backfill(x,lookback = d, k=1, ignore=""NAN"")","Backfill is the process of replacing the NAN or 0 values by a meaningful value (i.e., a first non-NaN value)","COMBO,REGULAR",ALL
days_from_last_change,Time Series,days_from_last_change(x),Amount of days since last change of x,"COMBO,REGULAR",ALL
last_diff_value,Time Series,"last_diff_value(x, d)",Returns last x value not equal to current x value from last d days,"COMBO,REGULAR",ALL
